,subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business,sports,youth,max_val,max_cat,frequency,log_frequency,count
41,accessible transit service,0.0009119238238781,0.3010175228118896,0.0002629607624839,0.0019866712391376,0.0006268717697821,0.0003510146634653,0.0364874489605426,0.99081552028656,0.0012340217363089,0.0006036850390955,0.0052311993204057,0.8850744366645813,0.9399388432502748,0.000580399937462,0.0006816953537054,0.0249833893030881,0.0092079145833849,0.0001434743171557,0.7450181245803833,0.0063023651018738,0.0002498154644854,0.343919038772583,0.99081552028656,transit,1,0.0,1
42,accessory apartments,0.9934305548667908,0.0024766102433204,5.228140071267262e-05,0.001654002815485,0.0001689110067673,0.1852001845836639,0.0003820350102614,0.0049535799771547,0.0020914056804031,0.0077666100114583,0.0255177468061447,0.0010263168951496,0.0232802145183086,0.07369314879179,0.0005255995201878,0.0048502101562917,0.223398745059967,0.0002532517828512,0.0172729548066854,0.0009368944447487,0.0019185926066711,0.1670730710029602,0.9934305548667908,housing,1,0.0,1
43,accidental spills,0.2264737337827682,0.0037114722654223,0.000818423111923,0.0012556937290355,0.0975730866193771,0.0116381905972957,0.0277212057262659,0.2024038434028625,0.0025255267973989,0.1865869611501693,0.0086124641820788,0.1202455684542656,0.0523731410503387,0.0252083707600832,0.1269231289625167,0.0039692423306405,0.0074019120074808,0.0175252743065357,0.0162713378667831,0.001978957792744,0.0169149842113256,0.2557833790779114,0.2557833790779114,youth,1,0.0,1
44,accommodation providers,0.8938724398612976,0.0067399167455732,0.0011975961970165,0.0023130145855247,0.0178498849272727,0.005421151407063,0.0120967654511332,0.0255332551896572,0.0005584683385677,0.019997950643301,0.1031276285648346,0.8713116645812988,0.358862429857254,0.0641879588365554,0.009639672935009,0.006582885980606,0.0709371045231819,0.0247621200978755,0.5069345831871033,0.8836590647697449,0.0021863006986677,0.061174564063549,0.8938724398612976,housing,1,0.0,1
45,accommodation services,0.8189451694488525,0.0064573208801448,0.0019705656450241,0.0021929959766566,0.0054926197044551,0.0008982873987406,0.0065264296717941,0.0250921212136745,0.00022952031577,0.005569061730057,0.0400484874844551,0.4950577914714813,0.1372753232717514,0.0260031130164861,0.0023299963213503,0.0068327761255204,0.0409718416631221,0.004580246284604,0.3337859511375427,0.6072983145713806,0.0012472642119973,0.0931817442178726,0.8189451694488525,housing,1,0.0,1
46,accountability,0.2948022186756134,0.0273820050060749,0.0099163390696048,0.0067883138544857,0.0605201981961727,0.0712860375642776,0.0780804976820945,0.2466260939836502,0.000124212456285,0.0714326128363609,0.0877376124262809,0.1539282947778701,0.1111099272966384,0.0078028920106589,0.068806417286396,0.0801353752613067,0.1317154318094253,0.1390518397092819,0.2074257582426071,0.5146802067756653,0.0406304560601711,0.0781167075037956,0.5146802067756653,business,1,0.0,1
47,accounts,0.0590451657772064,0.0014004333643242,0.0097026992589235,0.0022775284014642,0.0120559567585587,0.0056544677354395,0.0103497682139277,0.0800726786255836,0.0003616693429648,0.0146621512249112,0.1125658154487609,0.0026955769862979,0.1647356003522873,0.0005981980939395,0.0029467784333974,0.0453607887029647,0.2990000545978546,0.0249423626810312,0.3032282590866089,0.8449776768684387,0.0024818782694637,0.1481758952140808,0.8449776768684387,business,1,0.0,1
48,accounts payable,0.0009187248069792,0.0007587223080918,0.0002303221554029,0.0006753258639946,0.0011580399004742,0.0002128943015122,0.0004607107548508,0.0029387925751507,0.0001269536733161,0.0004148568841628,0.0073097283020615,0.0011397983180359,0.0057151312939822,8.628745126770809e-05,5.4815020121168345e-05,0.0150309978052973,0.0024792819749563,0.000767039542552,0.0008744387305341,0.9728436470031738,0.0003199889033567,0.0207064859569072,0.9728436470031738,business,1,0.0,1
49,accounts receivable,0.0003828188055194,0.0011117348913103,0.0001833962887758,0.0006834652740508,0.0025700605474412,7.007922977209091e-05,0.0005620309384539,0.0008943941211327,0.0001786571374395,0.0010212156921625,0.0037115975283086,0.0006034137913957,0.0074329837225377,0.0001758088910719,7.523403473896906e-05,0.018750799819827,0.0003282414400018,0.0032773909624665,0.0012399532133713,0.9603272676467896,0.0008616340346634,0.0514587946236133,0.9603272676467896,business,1,0.0,1
50,accreditation,0.0831804350018501,0.0401063151657581,0.0008037424413487,0.0122622149065136,0.1347119808197021,0.0171022061258554,0.0182232242077589,0.173418328166008,0.0002993099333252,0.1080315485596656,0.0473718233406543,0.0875730812549591,0.2109591513872146,0.2477714568376541,0.0203801468014717,0.0427623279392719,0.0057753934524953,0.3576280474662781,0.0558736659586429,0.4705832600593567,0.0638874396681785,0.249136283993721,0.4705832600593567,business,1,0.0,1
